taxonomy_id	name	rank	lineage	SRR13439799_diamond.diamond	SRR13439802_diamond.diamond	SRR13439790_diamond.diamond	SRR13439813_diamond.diamond
10	Cellvibrio	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio	0	33	0	14
327045	Orthoretrovirinae	subfamily	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae	0	1	4	0
135621	Pseudomonadaceae	family	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	0	4	3	12954
1	root	no rank		0	70	163	8160
334819	Fusarium verticillioides 7600	strain	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nectriaceae;Fusarium;Fusarium fujikuroi species complex;Fusarium verticillioides;Fusarium verticillioides 7600	0	66	2	0
1701090	Gordonia hongkongensis	species	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Mycobacteriales;Gordoniaceae;Gordonia;Gordonia hongkongensis	0	12	0	0
186803	Lachnospiraceae	family	Bacteria;Terrabacteria group;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae	0	16	18	1
208348	Puccinia triticina	species	Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Pucciniomycetes;Pucciniales;Pucciniaceae;Puccinia;Puccinia triticina	0	2	1	0
5296	Puccinia	genus	Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Pucciniomycetes;Pucciniales;Pucciniaceae;Puccinia	0	4	0	0
28216	Betaproteobacteria	class	Bacteria;Pseudomonadota;Betaproteobacteria	0	7	0	2030
59732	Chryseobacterium	genus	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium	0	10	2	22942
2039639	Candidatus Nanopelagicus	genus	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Candidatus Nanopelagicales;Candidatus Nanopelagicaceae;Candidatus Nanopelagicus	0	11	0	0
159122	Simian immunodeficiency virus SIV-mnd 2	no rank	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Lentivirus;Simian immunodeficiency virus	0	17	0	0
359407	Methylotenera	genus	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylotenera	0	9	0	0
68336	Bacteroidota/Chlorobiota group	clade	Bacteria;FCB group	0	12	0	347
3039156	Rhizobium sp. CB3090	species	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;Rhizobium sp. CB3090	0	2	0	0
283734	Staphylococcus pseudintermedius	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus intermedius group;Staphylococcus pseudintermedius	0	10	9	3
40323	Stenotrophomonas	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	0	3	0	1675
2053	Gordonia	genus	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Mycobacteriales;Gordoniaceae;Gordonia	0	1	0	3
80840	Burkholderiales	order	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	0	39	3	4954
286	Pseudomonas	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	0	28	5	79161
2006668	Pseudomonas phage Phabio	no rank	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Phabiovirus;Phabiovirus phabio	0	4	3	590
1028729	Fusarium pseudograminearum CS3096	strain	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nectriaceae;Fusarium;Fusarium sambucinum species complex;Fusarium pseudograminearum;Fusarium pseudograminearum CS3096	0	11	0	5
408	Methylorubrum extorquens	species	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum;Methylorubrum extorquens	0	114	0	114
1910976	Guernseyvirinae	subfamily	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Guernseyvirinae	0	8	19	3413
140052	Betaretrovirus	genus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Betaretrovirus	0	3	13	0
1236	Gammaproteobacteria	class	Bacteria;Pseudomonadota;Gammaproteobacteria	0	61	3	11402
1428	Bacillus thuringiensis	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus group;Bacillus thuringiensis	0	35	3	2
687329	Anelloviridae	family	Viruses;Anelloviridae	0	11	2	0
2714940	Pedobacter sp. HDW13	species	Bacteria;FCB group;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;Pedobacter sp. HDW13	0	4	0	83
543	Enterobacteriaceae	family	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	0	21	0	102
1987723	Cellvibrio sp. PSBB006	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio;Cellvibrio sp. PSBB006	0	1	0	2
153135	Gammaretrovirus	genus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Gammaretrovirus	0	38	29	1
569360	Fusarium sambucinum species complex	species group	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nectriaceae;Fusarium;Fusarium sambucinum species complex	0	1	0	1
687369	Torque teno mini virus 1	no rank	Viruses;Anelloviridae;Betatorquevirus;Betatorquevirus homini1	0	26	0	0
5863	Piroplasmida	order	Eukaryota;Sar;Apicomplexa;Aconoidasida;Piroplasmida	0	15	0	0
5506	Fusarium	genus	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nectriaceae;Fusarium	0	12	0	15
64462	Walleye epidermal hyperplasia virus 1	species	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Epsilonretrovirus;Walleye epidermal hyperplasia virus 1	0	4	0	0
1268	Micrococcaceae	family	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	0	6	2	69
1706371	Cellvibrionaceae	family	Bacteria;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae	0	10	0	3
168172	Puccinia striiformis f. sp. tritici	forma specialis	Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Pucciniomycetes;Pucciniales;Pucciniaceae;Puccinia;Puccinia striiformis;Puccinia striiformis f. sp. tritici	0	1	0	0
1827	Rhodococcus	genus	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Rhodococcus	0	2	0	17
2202148	Azospirillum thermophilum	species	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Azospirillum;Azospirillum thermophilum	0	5	0	5
2055263	Anelloviridae sp.	species	Viruses;Anelloviridae;Anelloviridae sp.	0	8	0	0
84405	Hippea maritima	species	Bacteria;Campylobacterota;Desulfurellia;Desulfurellales;Hippeaceae;Hippea;Hippea maritima	0	11	0	0
687331	Alphatorquevirus	genus	Viruses;Anelloviridae;Alphatorquevirus	0	16	5	0
687352	Torque teno virus 13	no rank	Viruses;Anelloviridae;Alphatorquevirus;Alphatorquevirus homin13	0	9	0	0
5042	Eurotiales	order	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Eurotiomycetes;Eurotiomycetidae;Eurotiales	0	8	1	30
1783272	Terrabacteria group	clade	Bacteria;Terrabacteria group	0	23	35	109
2004710	Cloacibacterium caeni	species	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium;Cloacibacterium caeni	0	12	0	0
28453	Sphingobacterium	genus	Bacteria;FCB group;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium	0	2	0	448
2875777	[Mycobacterium] vasticus	species	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacter;[Mycobacterium] vasticus	0	8	105	0
91347	Enterobacterales	order	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales	0	6	4	339
2880932	Lichenihabitans sp. PAMC28606	species	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Lichenihabitantaceae;Lichenihabitans;Lichenihabitans sp. PAMC28606	0	19	0	4
56646	Fusarium venenatum	species	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nectriaceae;Fusarium;Fusarium sambucinum species complex;Fusarium venenatum	0	15	0	1
2697027	Sodalis ligni	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Bruguierivoracaceae;Sodalis;Sodalis ligni	0	1	0	8
33154	Opisthokonta	clade	Eukaryota;Opisthokonta	0	15	31	7
578833	Stutzerimonas stutzeri subgroup	species subgroup	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Stutzerimonas;Stutzerimonas stutzeri group;Stutzerimonas stutzeri subgroup	0	1	2	56
1701257	Enterobacter phage phiEap-2	species	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Guernseyvirinae;Enterobacter phage phiEap-2	0	2	0	167
41294	Nitrobacteraceae	family	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae	0	5	1	9740
1283	Staphylococcus haemolyticus	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus haemolyticus	0	1	2	0
2698737	Sar	clade	Eukaryota;Sar	0	13	0	0
426428	Fusarium oxysporum f. sp. lycopersici 4287	strain	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nectriaceae;Fusarium;Fusarium oxysporum species complex;Fusarium oxysporum;Fusarium oxysporum f. sp. lycopersici;Fusarium oxysporum f. sp. lycopersici 4287	0	24	0	3
279826	Mesobacillus foraminis	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Bacillaceae;Mesobacillus;Mesobacillus foraminis	0	21	32	22
2762819	Klebsiella phage vB_KvM-Eowyn	no rank	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Eowynvirus;Eowynvirus eowyn	0	4	7	1056
501783	Cloacibacterium	genus	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium	0	26	0	45
2721545	Marinagarivorans cellulosilyticus	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Marinagarivorans;Marinagarivorans cellulosilyticus	0	1	0	2
925818	Methylobacterium sp. AMS5	species	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium sp. AMS5	0	7	0	15
544448	Mycoplasmatota	phylum	Bacteria;Terrabacteria group;Mycoplasmatota	0	1	0	12
468	Moraxellaceae	family	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae	0	37	0	32
475	Moraxella	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella	0	3	0	42
332648	Botrytis cinerea B05.10	strain	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Leotiomycetes;Helotiales;Sclerotiniaceae;Botrytis;Botrytis cinerea;Botrytis cinerea B05.10	0	2	0	26
3028117	Cyanophyceae	class	Bacteria;Terrabacteria group;Cyanobacteriota;Cyanophyceae	0	35	0	44
32011	Methylophilaceae	family	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae	0	5	0	24
2303332	Cellvibrio sp. KY-GH-1	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio;Cellvibrio sp. KY-GH-1	0	4	0	7
34072	Variovorax	genus	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	0	11	0	58
575378	Sediminibacterium sp. TEGAF015	species	Bacteria;FCB group;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Sediminibacterium;Sediminibacterium sp. TEGAF015	0	2	0	2856
80864	Comamonadaceae	family	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae	0	23	1	1387
2061	Tsukamurella paurometabola	species	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Mycobacteriales;Tsukamurellaceae;Tsukamurella;Tsukamurella paurometabola	0	10	0	0
2731619	Caudoviricetes	class	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	0	17	44	8689
308865	Elizabethkingia	genus	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Elizabethkingia	0	15	0	70
11632	Retroviridae	family	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae	0	1	1	0
1084	Pararhodospirillum photometricum	species	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Pararhodospirillum;Pararhodospirillum photometricum	0	5	43	32
1498172	Escherichia phage ECBP5	no rank	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae;Gajwadongvirus;Gajwadongvirus ECBP5	0	1	0	87
2731941	Gajwadongvirus	genus	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae;Gajwadongvirus	0	3	18	3059
2051906	Exiguobacterium sp. N4-1P	species	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Exiguobacterium;Exiguobacterium sp. N4-1P	0	1	1	0
687332	Betatorquevirus	genus	Viruses;Anelloviridae;Betatorquevirus	0	2	0	0
2065036	Torque teno mini virus 10	no rank	Viruses;Anelloviridae;Betatorquevirus;Betatorquevirus homini10	0	1	0	0
84567	Pedobacter	genus	Bacteria;FCB group;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter	0	5	0	6642
22	Shewanella	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella	0	26	0	13
41297	Sphingomonadaceae	family	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	0	7	7	9841
1325115	Bradyrhizobium guangxiense	species	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium guangxiense	0	2	0	9
2744521	Mesorhizobium sp. L-2-11	species	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;Mesorhizobium sp. L-2-11	0	4	0	0
2897334	Methylorubrum sp. B1-46	species	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum;Methylorubrum sp. B1-46	0	12	0	7
28099	Agrobacterium rubi	species	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium;Agrobacterium rubi	0	3	0	0
2624793	unclassified Cellvibrio	no rank	Bacteria;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio	0	17	0	10
2545455	Rhizosphaericola mali	species	Bacteria;FCB group;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Rhizosphaericola;Rhizosphaericola mali	0	2	0	9
1279	Staphylococcus	genus	Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	0	2	7	107
357	Agrobacterium	genus	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium	0	1	0	30
2792015	Agrobacterium leguminum	species	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium;Agrobacterium leguminum	0	1	0	9
444	Legionellaceae	family	Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae	0	9	0	4
445	Legionella	genus	Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella	0	2	0	11
687353	Torque teno virus 14	no rank	Viruses;Anelloviridae;Alphatorquevirus;Alphatorquevirus homin14	0	2	0	0
1444770	Xylella taiwanensis	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xylella;Xylella taiwanensis	0	1	0	0
1911928	Vequintavirinae	subfamily	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Vequintavirinae	0	7	28	3539
1131492	Aspergillaceae	family	Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Opisthokonta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae	0	3	0	33
13687	Sphingomonas	genus	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	0	14	0	11407
2782232	Chryseobacterium group	no rank	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae	0	6	0	1763
227290	Rhizobium/Agrobacterium group	no rank	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae	0	1	0	245
573	Klebsiella pneumoniae	species	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae	0	16	16	12
33882	Microbacterium	genus	Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Microbacterium	0	2	0	54
