readID	seqID	taxID	score	2ndBestScore	hitLength	queryLength	numMatches
SRR13439799.2232	NC_000013.11	9606	81	64	24	1335	1
SRR13439799.2212	NC_000010.11	9606	289	0	32	1630	1
SRR13439799.2195	NC_000009.12	9606	121	121	26	1213	3
SRR13439799.2195	NC_000001.11	9606	121	121	26	1213	3
SRR13439799.2195	NC_000005.10	9606	121	121	26	1213	3
SRR13439799.2107	NC_000016.10	9606	81	81	24	1032	3
SRR13439799.2107	NC_000010.11	9606	81	81	24	1032	3
SRR13439799.2107	NC_000004.12	9606	81	81	24	1032	3
SRR13439799.2208	unclassified	0	0	0	0	2737	1
SRR13439799.2240	NC_000014.9	9606	225	0	30	1053	1
SRR13439799.2316	unclassified	0	0	0	0	1756	1
SRR13439799.2299	NC_000003.12	9606	324	144	33	1093	1
SRR13439799.2260	unclassified	0	0	0	0	1068	1
SRR13439799.2126	unclassified	0	0	0	0	1660	1
SRR13439799.2327	unclassified	0	0	0	0	1215	1
SRR13439799.2378	NC_000005.10	9606	100	0	25	1309	1
SRR13439799.2171	unclassified	0	0	0	0	1053	1
SRR13439799.2342	unclassified	0	0	0	0	1256	1
SRR13439799.2315	NC_000014.9	9606	121	0	26	1616	1
SRR13439799.2150	NC_000014.9	9606	100	100	25	1467	5
SRR13439799.2150	NC_000007.14	9606	100	100	25	1467	5
SRR13439799.2150	NC_000023.11	9606	100	100	25	1467	5
SRR13439799.2150	NC_000016.10	9606	100	100	25	1467	5
SRR13439799.2150	NC_000018.10	9606	100	100	25	1467	5
SRR13439799.2319	NC_000004.12	9606	81	0	24	1140	1
SRR13439799.2418	NC_000021.9	9606	81	81	24	1007	2
SRR13439799.2418	NC_000022.11	9606	81	81	24	1007	2
SRR13439799.2435	unclassified	0	0	0	0	1081	1
SRR13439799.2503	NC_000024.10	9606	100	0	25	1018	1
SRR13439799.2497	NC_000006.12	9606	64	0	23	1161	1
SRR13439799.2489	NC_000019.10	9606	208	0	50	1124	1
SRR13439799.2424	NC_000002.12	9606	145	0	47	1412	1
SRR13439799.2540	NC_000005.10	9606	81	0	24	1061	1
SRR13439799.2519	unclassified	0	0	0	0	1305	1
SRR13439799.2530	NC_000003.12	9606	81	64	24	1505	1
SRR13439799.2554	unclassified	0	0	0	0	1137	1
SRR13439799.2556	NC_000008.11	9606	81	81	24	1026	2
SRR13439799.2556	NC_000020.11	9606	81	81	24	1026	2
SRR13439799.2567	unclassified	0	0	0	0	2297	1
SRR13439799.2528	unclassified	0	0	0	0	1695	1
SRR13439799.2585	unclassified	0	0	0	0	1022	1
SRR13439799.2547	NC_000001.11	9606	81	64	24	1601	1
SRR13439799.2593	unclassified	0	0	0	0	1002	1
SRR13439799.2640	unclassified	0	0	0	0	1017	1
SRR13439799.2621	NC_000001.11	9606	100	0	25	1470	1
SRR13439799.2648	NC_000016.10	9606	225	64	30	1168	1
SRR13439799.2674	cid|184064	184064	81	0	24	1157	1
SRR13439799.2742	NC_000014.9	9606	121	121	26	1090	3
SRR13439799.2742	NC_000002.12	9606	121	121	26	1090	3
SRR13439799.2742	NC_000004.12	9606	121	121	26	1090	3
SRR13439799.2769	unclassified	0	0	0	0	1361	1
SRR13439799.2773	NC_000002.12	9606	81	0	24	1394	1
SRR13439799.2805	cid|316068	316068	64	0	23	1002	1
SRR13439799.2844	unclassified	0	0	0	0	1070	1
SRR13439799.2813	unclassified	0	0	0	0	1311	1
SRR13439799.2885	unclassified	0	0	0	0	1127	1
SRR13439799.2836	unclassified	0	0	0	0	1105	1
SRR13439799.2877	unclassified	0	0	0	0	1937	1
SRR13439799.2890	unclassified	0	0	0	0	1457	1
SRR13439799.2638	NC_000001.11	9606	289	64	32	1532	1
SRR13439799.2787	unclassified	0	0	0	0	1469	1
SRR13439799.2842	NC_000017.11	9606	81	81	24	1174	3
SRR13439799.2842	NT_187613.1	9606	81	81	24	1174	3
SRR13439799.2842	NT_187664.1	9606	81	81	24	1174	3
SRR13439799.2884	NC_000001.11	9606	81	0	24	1178	1
SRR13439799.2908	unclassified	0	0	0	0	1247	1
SRR13439799.3007	unclassified	0	0	0	0	1115	1
SRR13439799.2921	unclassified	0	0	0	0	1219	1
SRR13439799.2959	NC_000006.12	9606	689	0	63	1763	1
SRR13439799.2976	NW_015495299.1	9606	64	64	23	1273	2
SRR13439799.2976	NC_000002.12	9606	64	64	23	1273	2
SRR13439799.2957	species	9606	81	0	24	1276	1
SRR13439799.2945	NC_000002.12	9606	81	81	24	1242	3
SRR13439799.2945	NC_000023.11	9606	81	81	24	1242	3
SRR13439799.2945	NC_000009.12	9606	81	81	24	1242	3
SRR13439799.2915	NC_000024.10	9606	169	169	28	1056	2
SRR13439799.2915	NC_000023.11	9606	169	169	28	1056	2
SRR13439799.2962	cid|1538	1538	64	0	23	1398	1
SRR13439799.2984	unclassified	0	0	0	0	1656	1
SRR13439799.2387	NC_000023.11	9606	100	81	25	1392	1
SRR13439799.3061	unclassified	0	0	0	0	1091	1
SRR13439799.3080	unclassified	0	0	0	0	1204	1
SRR13439799.3024	NC_000006.12	9606	100	0	25	1276	1
SRR13439799.3076	NC_000004.12	9606	81	0	24	1159	1
SRR13439799.3140	unclassified	0	0	0	0	1282	1
SRR13439799.3154	NC_000016.10	9606	81	0	24	1391	1
SRR13439799.3100	unclassified	0	0	0	0	1223	1
SRR13439799.3166	NC_000005.10	9606	144	0	27	1000	1
SRR13439799.3160	unclassified	0	0	0	0	1162	1
SRR13439799.3152	NC_000021.9	9606	81	64	24	1039	1
SRR13439799.3168	NC_000004.12	9606	529	400	38	1022	1
SRR13439799.3126	NC_000012.12	9606	121	64	26	2579	1
SRR13439799.3167	NW_017363813.1	9606	64	64	23	1709	4
SRR13439799.3167	NC_000001.11	9606	64	64	23	1709	4
SRR13439799.3167	NC_000003.12	9606	64	64	23	1709	4
SRR13439799.3167	NC_000007.14	9606	64	64	23	1709	4
SRR13439799.3004	NC_000023.11	9606	64	0	23	1285	1
SRR13439799.3181	NC_000013.11	9606	324	81	33	1028	1
SRR13439799.3186	unclassified	0	0	0	0	1166	1
SRR13439799.3201	unclassified	0	0	0	0	1221	1
SRR13439799.3234	NT_187536.1	9606	81	81	24	1349	3
SRR13439799.3234	NC_000003.12	9606	81	81	24	1349	3
SRR13439799.3234	NC_000008.11	9606	81	81	24	1349	3
SRR13439799.3291	unclassified	0	0	0	0	1096	1
SRR13439799.3288	unclassified	0	0	0	0	1285	1
SRR13439799.3293	unclassified	0	0	0	0	1076	1
SRR13439799.3314	unclassified	0	0	0	0	1054	1
SRR13439799.3405	NC_000010.11	9606	100	0	25	1287	1
SRR13439799.3454	unclassified	0	0	0	0	1118	1
SRR13439799.3421	unclassified	0	0	0	0	1001	1
SRR13439799.3355	NC_000003.12	9606	64	64	23	1005	2
SRR13439799.3355	NC_000014.9	9606	64	64	23	1005	2
SRR13439799.3188	species	9606	121	0	26	2221	1
SRR13439799.3375	unclassified	0	0	0	0	1125	1
SRR13439799.3341	unclassified	0	0	0	0	1300	1
SRR13439799.3458	NC_000007.14	9606	64	0	23	1879	1
SRR13439799.3244	cid|39491	39491	64	0	23	1383	1
SRR13439799.3474	NC_000001.11	9606	64	0	23	1248	1
SRR13439799.3483	unclassified	0	0	0	0	1065	1
SRR13439799.3485	NC_000007.14	9606	169	81	28	1092	1
SRR13439799.3492	unclassified	0	0	0	0	1408	1
SRR13439799.3531	NC_000005.10	9606	64	0	23	1325	1
SRR13439799.3511	NC_000002.12	9606	256	256	31	1172	2
SRR13439799.3511	NC_000005.10	9606	256	256	31	1172	2
SRR13439799.3605	unclassified	0	0	0	0	1460	1
SRR13439799.3603	NC_000011.10	9606	121	0	26	1011	1
SRR13439799.3538	NC_000008.11	9606	1156	121	49	1477	1
SRR13439799.3579	NC_000005.10	9606	100	0	25	1190	1
SRR13439799.3558	NC_000011.10	9606	100	64	25	1137	1
SRR13439799.3499	NC_000007.14	9606	81	0	24	1704	1
SRR13439799.3546	unclassified	0	0	0	0	1074	1
SRR13439799.3599	unclassified	0	0	0	0	1390	1
SRR13439799.3520	unclassified	0	0	0	0	1447	1
SRR13439799.3642	NC_000019.10	9606	529	529	38	4198	4
SRR13439799.3642	NC_000003.12	9606	529	529	38	4198	4
SRR13439799.3642	NC_000013.11	9606	529	529	38	4198	4
SRR13439799.3642	NC_000006.12	9606	529	529	38	4198	4
SRR13439799.3760	unclassified	0	0	0	0	1289	1
SRR13439799.3743	NC_000006.12	9606	169	0	28	1329	1
SRR13439799.3673	unclassified	0	0	0	0	1359	1
SRR13439799.3656	NC_000002.12	9606	337	0	55	1321	1
SRR13439799.3744	NC_000020.11	9606	196	0	29	1011	1
SRR13439799.3674	NC_000004.12	9606	100	81	25	1370	1
SRR13439799.3683	NC_000003.12	9606	185	121	49	2300	1
SRR13439799.3676	unclassified	0	0	0	0	1146	1
SRR13439799.3365	species	9606	81	0	24	1456	1
SRR13439799.3643	unclassified	0	0	0	0	1214	1
SRR13439799.3790	unclassified	0	0	0	0	1399	1
SRR13439799.3845	unclassified	0	0	0	0	1052	1
SRR13439799.3795	NT_167214.1	9606	144	144	27	1087	3
SRR13439799.3795	NC_000021.9	9606	144	144	27	1087	3
SRR13439799.3795	NC_000014.9	9606	144	144	27	1087	3
SRR13439799.3825	NC_000023.11	9606	64	0	23	1081	1
SRR13439799.3872	unclassified	0	0	0	0	1080	1
SRR13439799.3867	unclassified	0	0	0	0	1187	1
SRR13439799.3922	NC_000023.11	9606	196	196	29	1041	2
SRR13439799.3922	NC_000019.10	9606	196	196	29	1041	2
SRR13439799.3902	unclassified	0	0	0	0	1314	1
SRR13439799.3951	NC_000023.11	9606	1089	289	48	1137	1
SRR13439799.3957	NC_000019.10	9606	81	0	24	1264	1
SRR13439799.3978	unclassified	0	0	0	0	1040	1
SRR13439799.3963	NC_000013.11	9606	64	0	23	1410	1
SRR13439799.4085	unclassified	0	0	0	0	1292	1
SRR13439799.4074	unclassified	0	0	0	0	1125	1
SRR13439799.4005	unclassified	0	0	0	0	1213	1
SRR13439799.3983	NC_000002.12	9606	162	0	48	1091	1
SRR13439799.4016	NC_002019.1	211044	1094	0	99	1117	1
SRR13439799.4046	unclassified	0	0	0	0	1434	1
SRR13439799.4037	NC_000004.12	9606	2088	289	90	1055	1
SRR13439799.3815	unclassified	0	0	0	0	3125	1
SRR13439799.4086	unclassified	0	0	0	0	1011	1
SRR13439799.4175	NC_002019.1	211044	699	256	90	1124	1
SRR13439799.4098	NC_000013.11	9606	64	0	23	1127	1
SRR13439799.4088	NC_000003.12	9606	169	169	28	1254	2
SRR13439799.4088	NC_000016.10	9606	169	169	28	1254	2
SRR13439799.4084	unclassified	0	0	0	0	1109	1
SRR13439799.4141	unclassified	0	0	0	0	1107	1
SRR13439799.4103	NC_000010.11	9606	121	121	26	1168	2
SRR13439799.4103	NC_000004.12	9606	121	121	26	1168	2
SRR13439799.4025	unclassified	0	0	0	0	1064	1
SRR13439799.4180	NC_000003.12	9606	144	100	27	1106	1
SRR13439799.4183	NC_000003.12	9606	81	0	24	1358	1
SRR13439799.4205	NC_000014.9	9606	169	0	28	1133	1
SRR13439799.4194	NC_000011.10	9606	256	81	31	1119	1
SRR13439799.4214	unclassified	0	0	0	0	1027	1
SRR13439799.4192	NC_000012.12	9606	100	0	25	1560	1
SRR13439799.4222	unclassified	0	0	0	0	1424	1
SRR13439799.4210	NC_000017.11	9606	100	100	25	1589	2
SRR13439799.4210	NC_000010.11	9606	100	100	25	1589	2
SRR13439799.4215	NC_000005.10	9606	121	0	26	1661	1
SRR13439799.4242	unclassified	0	0	0	0	1282	1
SRR13439799.4259	NC_000011.10	9606	81	0	24	1359	1
SRR13439799.4234	NC_000017.11	9606	144	0	27	1574	1
SRR13439799.4287	NC_000013.11	9606	121	0	26	1085	1
SRR13439799.4286	NC_000018.10	9606	121	81	26	1029	1
SRR13439799.4277	unclassified	0	0	0	0	2143	1
SRR13439799.4282	NC_000018.10	9606	169	0	28	2103	1
SRR13439799.4271	NC_000008.11	9606	169	0	28	1151	1
SRR13439799.4308	NC_000001.11	9606	64	0	23	1082	1
SRR13439799.4252	NC_000004.12	9606	324	121	33	1896	1
SRR13439799.4263	NC_000016.10	9606	169	100	28	1826	1
SRR13439799.4237	NC_000023.11	9606	361	361	34	1064	3
SRR13439799.4237	NC_000001.11	9606	361	361	34	1064	3
SRR13439799.4237	NC_000012.12	9606	361	361	34	1064	3
SRR13439799.4311	unclassified	0	0	0	0	1301	1
SRR13439799.4316	unclassified	0	0	0	0	1221	1
SRR13439799.4310	NC_000001.11	9606	208	169	50	1095	1
SRR13439799.4328	unclassified	0	0	0	0	1318	1
SRR13439799.4317	cid|446	446	81	81	24	1045	2
SRR13439799.4317	NC_000010.11	9606	81	81	24	1045	2
SRR13439799.4340	unclassified	0	0	0	0	1219	1
SRR13439799.4351	NC_000017.11	9606	100	0	25	1022	1
SRR13439799.4355	NC_000003.12	9606	250	0	52	1046	1
SRR13439799.4345	unclassified	0	0	0	0	1298	1
SRR13439799.4364	unclassified	0	0	0	0	1154	1
SRR13439799.4372	NC_000017.11	9606	850	0	70	1125	1
SRR13439799.4454	NC_000015.10	9606	100	0	25	1037	1
SRR13439799.4459	NC_000005.10	9606	81	0	24	1022	1
SRR13439799.4389	NC_000023.11	9606	100	64	25	1492	1
SRR13439799.4453	NC_000012.12	9606	324	0	33	1115	1
SRR13439799.4428	unclassified	0	0	0	0	1026	1
SRR13439799.4431	unclassified	0	0	0	0	1497	1
SRR13439799.4412	NC_000019.10	9606	64	64	23	1496	2
SRR13439799.4412	NW_014040929.1	9606	64	64	23	1496	2
SRR13439799.4337	NC_000014.9	9606	290	0	54	1704	1
SRR13439799.4475	unclassified	0	0	0	0	1004	1
SRR13439799.4464	unclassified	0	0	0	0	1355	1
SRR13439799.4480	NC_000002.12	9606	64	0	23	1095	1
SRR13439799.4501	unclassified	0	0	0	0	1000	1
SRR13439799.4485	NC_000012.12	9606	81	64	24	1119	1
SRR13439799.4478	NC_000001.11	9606	121	0	26	1435	1
SRR13439799.4503	NC_000011.10	9606	64	0	23	1312	1
SRR13439799.4540	NC_000020.11	9606	144	144	27	1135	2
SRR13439799.4540	NC_000012.12	9606	144	144	27	1135	2
SRR13439799.4652	NC_000001.11	9606	81	64	24	1703	1
SRR13439799.4656	unclassified	0	0	0	0	1204	1
SRR13439799.4595	unclassified	0	0	0	0	2345	1
SRR13439799.4535	unclassified	0	0	0	0	1824	1
SRR13439799.4651	unclassified	0	0	0	0	1319	1
SRR13439799.4685	NC_000005.10	9606	121	0	26	1395	1
SRR13439799.4632	NC_000016.10	9606	324	324	33	1074	3
SRR13439799.4632	NC_000001.11	9606	324	324	33	1074	3
SRR13439799.4632	NC_000013.11	9606	324	324	33	1074	3
SRR13439799.4710	NC_000001.11	9606	225	64	30	1578	1
SRR13439799.4297	NC_002023.1	211044	3330	400	172	1227	1
SRR13439799.3675	cid|1446467	1446467	64	0	23	1577	1
SRR13439799.4544	NC_002022.1	211044	2292	625	154	1072	1
SRR13439799.4766	unclassified	0	0	0	0	1044	1
SRR13439799.4752	NC_000001.11	9606	3185	0	107	1025	1
SRR13439799.4857	unclassified	0	0	0	0	1004	1
SRR13439799.4796	unclassified	0	0	0	0	1423	1
SRR13439799.4943	unclassified	0	0	0	0	1212	1
SRR13439799.4932	unclassified	0	0	0	0	1319	1
SRR13439799.4901	unclassified	0	0	0	0	1027	1
SRR13439799.4870	unclassified	0	0	0	0	1150	1
SRR13439799.4944	NC_000023.11	9606	1009	784	73	1030	1
SRR13439799.4945	unclassified	0	0	0	0	1205	1
SRR13439799.4889	NC_000003.12	9606	289	0	32	2317	1
SRR13439799.4789	unclassified	0	0	0	0	1458	1
SRR13439799.4886	unclassified	0	0	0	0	1357	1
SRR13439799.4909	NC_000012.12	9606	289	64	32	1017	1
SRR13439799.4992	unclassified	0	0	0	0	1005	1
SRR13439799.4986	NC_000005.10	9606	64	0	23	1211	1
SRR13439799.4977	NC_000001.11	9606	64	0	23	1364	1
SRR13439799.4997	NC_000002.12	9606	144	121	27	1136	1
